name,pub_time,con_finish_time,click_num,dock_enter_num,func_use,main_indice,type
重点实验室基金-61421090103-高频仿生换能器技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594617.html,2018-11-14,2018-11-20,255,,借鉴海豚等齿鲸类生物声纳发射器/接收器的工作机理与结构特点，实现在小尺寸下的高指向性声波发射，提升声纳系统对复杂海洋环境的适应性。,,all
重点实验室基金-61421081907-时变水声信道识别与跟踪,http://www.weain.mil.cn/cgxq/yy/yjjsl/594616.html,2018-11-14,2018-11-20,294,,通过时变水声信道识别与跟踪方法的研究，为水声信道参数精确估计、水声通信均衡器设计提供支撑。,,all
重点实验室基金-61426050103-高功率低抖动开关及触发技术（三）,http://www.weain.mil.cn/cgxq/yy/yjjsl/594615.html,2018-11-14,2018-12-01,241,,满足固态脉冲功率源对于小体积、高功率、高导热、纳秒级快速固态开关器件的应用需求。,,all
重点实验室基金-61421081911-面向复杂作业环境的水下传感器网络协同管理和资源优化,http://www.weain.mil.cn/cgxq/yy/yjjsl/594614.html,2018-11-14,2018-11-20,308,,围绕水下复杂环境的综合因素和水下传感器网络自主能力的发展需求，开展面向复杂作业环境的水下传感器网络管理研究，实现传感器网络工作状态的自适应决策。针对水下传感器网络节点的工作模式、通信带宽、信号功率等因素，研究高效、实时的管理和调度方案，提高系统资源的利用效率，实现数据信息的高效收集，提高网络多源信息的融合效果，实现水下多平台作业时性能与资源消耗的平衡，为水下无人平台自主能力的提升构建完备的技术支撑。,,all
重点实验室基金--614240302011802-极区电离层不同尺度不均匀体的特征与形成机理研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594613.html,2018-11-14,2018-11-25,278,,用于极区电离层高精度建模和预报,,all
重点实验室基金-61429090306-金属表层低温热扩渗超高强韧化机理与新技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594612.html,2018-11-14,2018-11-25,398,,解决共渗层强度高、韧性低难题，为武器装备关键动部件长寿命高可靠性制造提供支撑。,,all
重点实验室基金- 61429070205-连续陶瓷纤维的表面处理技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594611.html,2018-11-14,2018-11-19,386,,针对纤维应用过程的表面问题和复合材料制备对纤维表面结构的要求，研究连续陶瓷纤维的表面特性及改性方法，研究适应于不同陶瓷纤维的集束剂与浸润剂及其对纤维本征性能与编织性能的影响，解决复合材料使用过程的表面问题，进一步提高连续陶瓷纤维综合性能。,,all
重点实验室基金-61428070501-真空电子器件中的新材料和新工艺研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594610.html,2018-11-14,2018-11-22,306,,在真空电子器件中引入新材料与新工艺，提升器件性能与可靠性,,all
重点实验室基金-61428070502-真空电子学交叉学科研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594609.html,2018-11-14,2018-11-22,217,,探索真空电子学原理与技术与其他学科的交叉应用,,all
重点实验室基金-61425010403-故障诊断与健康管理技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594608.html,2018-11-14,2018-11-23,504,,用于提升对典型控制系统单机或部件的健康管理能力。,,all
重点实验室基金-61426050103-金刚石雪崩二极管,http://www.weain.mil.cn/cgxq/yy/yjjsl/594607.html,2018-11-14,2018-12-01,209,,用于高重频短脉冲脉冲功率源开关。,,all
重点实验室基金-614240302021803-极区电离层闪烁的观测特征及其建模研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594606.html,2018-11-14,2018-11-25,217,,为卫星通信、导航等系统提供极区电离层闪烁预报信息,,all
重点实验室基金- 61429070301-陶瓷基复合材料界面与表面微结构设计与调控,http://www.weain.mil.cn/cgxq/yy/yjjsl/594605.html,2018-11-14,2018-11-19,428,,为进一步提高陶瓷基复合材料的综合性能，针对服役环境使用要求，对复合材料表、界面结构进行深入优化。开展界面改性涂层组成设计、制备方法、调节机制研究，开展表面防潮疏水、抗氧化、抗水汽、抗冲刷、耐腐蚀、隐身等多功能环障涂层技术研究。,,all
重点实验室基金-6142903010106-温度梯度对单晶Ni3Al基合金IC9组织与性能影响行为研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594604.html,2018-11-14,2018-11-25,276,,掌握凝固组织对Ni3Al基单晶合金IC9材料RT~1200℃的拉伸强度、持久和蠕变等性能的影响规律，为IC9单晶合金材料组织控制提供依据。,,all
重点实验室基金-61428070104-微波毫米波真空电子器件创新应用基础研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594603.html,2018-11-14,2018-11-22,232,,拓展微波毫米波真空电子器件在新型电子系统中的应用,,all
重点实验室基金-61426050205 新型高功率微波器件理论及设计技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594602.html,2018-11-14,2018-12-01,258,,解决长时间、长寿命重频稳定运行的高功率微波器件研制技术,,all
重点实验室基金-61424010202-面向毫米波三维成像的超材料孔径设计,http://www.weain.mil.cn/cgxq/yy/yjjsl/594601.html,2018-11-14,2018-11-25,323,,用于新体制毫米波雷达成像,,all
重点实验室基金-61426030310-增材制造推进剂的燃烧规律和性能调控研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594600.html,2018-11-14,2018-11-27,237,,增材制造技术在推进剂中的应用。,,all
重点实验室基金-61424110201-同时同频多节点组网传输方法研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594599.html,2018-11-14,2018-11-26,285,,随着卫星网络节点增加，如何在有限的频谱资源中实现更高的网络传输容量显得越来越重要。参考移动通信全双工技术，使得卫星通信共用频点、共用频段成为可能，本课题考虑如何组成多节点的同时同频中继转发网络，开展有效提升卫星频谱资源利用率的技术探索。,,all
重点实验室基金- 61429070104-纳米功能材料的设计与制备,http://www.weain.mil.cn/cgxq/yy/yjjsl/594598.html,2018-11-14,2018-11-19,440,,深入研究纳米功能材料的设计方法，开展纳米多晶陶瓷材料、电致阻变纳米材料、热/电致变色纳米材料、碳纳米管复合纤维及复合材料、纳米超材料、纳米吸收剂等的优化设计与合成制备，为新一代电推进系统以及光电功能器件和纳米复合材料提供理论基础与技术支持。,,all
重点实验室基金-614240303011804-雷达回波数据预处理方法研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594597.html,2018-11-14,2018-11-25,307,,支撑基于海量数据的雷达回波特性及应用研究,,all
重点实验室基金-61426050303-高功率微波传输通道铁氧体非线性抑制技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594596.html,2018-11-14,2018-12-01,210,,用于高功率微波传输发射系统中对快速相位控制单元的应用需求,,all
重点实验室基金-61426030302-金属燃料点火燃烧诊断新技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594595.html,2018-11-14,2018-11-27,371,,新型金属燃料应用基础研究。,,all
重点实验室基金-61424110203-面向无线传感器的大动态微波无线供电技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594594.html,2018-11-14,2018-11-26,325,,围绕无线传感器网络应用，针对不同功率等级的无线传感器，采用微波无线能量传输技术解决对传感器的无线供电问题，实现无线传感器自主工作。针对二极管输入阻抗特性，探讨改善其非线性变化引起失配的方法，同时研究新型异构整流电路拓扑；在能量接收方面，探索新型接收表面，适应大入射角、不同极化下微波能量高效接收。从而提出微波能量接收与整流的创新设计方法，完成无线供能传感器集成与试验。,,all
重点实验室基金-61421081909-基于新材料的水声换能器技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594593.html,2018-11-14,2018-11-20,305,,探索新材料在水声换能器中的应用，采用压电单晶等新型驱动材料，研制高性能水声换能器。,,all
重点实验室基金-61428010611-软件可定义宽带调谐滤波器芯片技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594592.html,2018-11-14,2018-11-21,301,,针对多频多模抗干扰通信要求，开展软件可定义的高集成宽带可调谐有源滤波器设计理论和实现方法，实现中心频率可调谐的高线性有源滤波器设计及验证。,,all
重点实验室基金-61421081910-用于换能器的新材料及其应用技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594591.html,2018-11-14,2018-11-20,326,,新材料为水声换能器性能的提升提供了各种可能性，声阻抗梯度匹配材料能够扩展换能器的带宽，无铅压电陶瓷材料不仅环保，而且有突出的性能。声学超材料有望实现低频超指向性。,,all
重点实验室基金- 61429070302-多功能一体化陶瓷基复合材料技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594590.html,2018-11-14,2018-11-19,427,,针对先进武器装备对多功能陶瓷基复合材料及结构的需求，开展多功能一体化陶瓷基复合材料技术研究，包括防热/透波、防热/隐身、防热/隔热、防热/隔热/透波、防热/隔热/隐身、红外/透波、透波/隔热等多功能一体化陶瓷基复合材料及相关技术研究。,,all
重点实验室基金- 61429070101-低成本、高产率SiC 陶瓷先驱体研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594589.html,2018-11-14,2018-11-19,310,,针对先驱体浸渍裂解（PIP）技术制备SiC陶瓷基复合材料对高陶瓷产率液态SiC先驱体的需求，研究低成本、高陶瓷产率液态SiC陶瓷先驱体的合成方法与组成结构控制技术与相关机理。,,all
重点实验室基金-61424010109-光电设备的无人机探测与识别技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594588.html,2018-11-14,2018-11-25,517,,用于对非合作低慢小无人机的监视。,,all
重点实验室基金-61424010501-宽带宽角频率扫描天线设计与测试技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594587.html,2018-11-14,2018-11-25,286,,用于宽带大角度扫描雷达。,,all
重点实验室基金-61421081908-新原理先进矢量水听器技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594586.html,2018-11-14,2018-11-20,193,,提出基于MEMS技术的新型矢量水听器，可用于浮标、潜标等各种矢量声纳系统。,,all
重点实验室基金-61421081906-水中目标非声探测技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594585.html,2018-11-14,2018-11-20,347,,研究水中目标光、磁等非声探测新技术，拓展水下目标探测方式与能力。,,all
重点实验室基金-61429010402-复合改性电极材料的优化设计及其在海底微生物燃料电池中的应用,http://www.weain.mil.cn/cgxq/yy/yjjsl/594584.html,2018-11-14,2018-11-20,348,,用于解决海底及偏远海域无人值守小型传感器和通讯器件长期稳定持续供电问题。,,all
重点实验室基金-61425010102-基于多约束的异类飞行器协同制导控制技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594583.html,2018-11-14,2018-11-23,297,,用于研究多约束条件的异类飞行器协同制导控制技术。,,all
重点实验室基金-61421081903-复杂海域水下声场三维数值求解与甚低频声传播机理研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594582.html,2018-11-14,2018-11-20,220,,建立基于Helmholtz方程直接求解的复杂海域水下声场三维数值预报模型，提升海洋声场精细化预报能力，分析甚低频水声和地声信号的传输和转化机理，为水下声探测与声信息传输奠定理论基础。,,all
重点实验室基金-61428060303-MEMS惯性器件关键参数漂移机理及优化设计技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594581.html,2018-11-14,2018-11-20,307,,用于改善MEMS惯性器件在实际应用中出现的标度因子参数漂移问题。,,all
重点实验室基金-61421081912-水下位置隐私保护技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594580.html,2018-11-14,2018-11-20,216,,提高多AUV之间的协同性，提高水下传感器网络源节点位置隐私安全性。,,all
重点实验室基金-614240301011801-非均匀大气波导监测新方法研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594579.html,2018-11-14,2018-11-25,254,,用于海上大气电波环境的监测与应用,,all
重点实验室基金-61425010303-智能信息处理技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594578.html,2018-11-14,2018-11-23,343,,用于解决深度学习算法航天应用的实时性问题。,,all
重点实验室基金-6142903010101-冷却微孔对镍基单晶高温合金力学行为的影响研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594577.html,2018-11-14,2018-11-25,262,,用于表征气膜冷却孔的尺寸、分布及制孔工艺对单晶高温合金力学性能的影响，为气膜冷却结构的优化设计提供基础。,,all
重点实验室基金-61428040101-微纳基础器件及制造技术（二）,http://www.weain.mil.cn/cgxq/yy/yjjsl/594576.html,2018-11-14,2018-11-25,408,,高性能传感器研究。,,all
重点实验室基金-61424110404-天基在轨数据影像实时处理算法及架构研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594575.html,2018-11-14,2018-11-26,251,,我国对空间信息的响应速度需求正从离线向实时在线转变，用户对信息获取和处理的时效性提出了更高要求。针对目前卫星测绘数据处理和反馈链路较长，无法支持对突发事件实时决策的问题，研究天基在轨影像实时处理技术，设计高性能的系统架构，构建在轨实时处理平台。通过研究特定硬件架构下的高精度定姿定轨算法及并行处理流水，实现高精度在轨数据处理，并可通过交互指令实时压缩关注区域的遥感图像。,,all
重点实验室基金-61429010304-低温耐蚀性硅烷复合涂层的防腐机理研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594574.html,2018-11-14,2018-11-20,301,,用于提高铝合金关键构件在低温海洋环境中的耐腐蚀性能。,,all
重点实验室基金-61424010106-面向雷达应用的微波-光波双向转换和控制方法研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594573.html,2018-11-14,2018-11-25,287,,用于包含光链路的微波雷达系统中。,,all
重点实验室基金-614250304010118-面向目标识别应用的轻量级机器学习框架,http://www.weain.mil.cn/cgxq/yy/yjjsl/594483.html,2018-11-13,2018-11-26,2097,,用于目标识别应用的轻量级机器学习框架研究,,all
重点实验室基金-61429050206-新型多功能材料结构设计与制备方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/594482.html,2018-11-13,2018-11-25,1324,,用于探索新型多功能材料的制备方法,,all
重点实验室基金-61428080202-固态锂电池电极材料界面修饰调控技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594481.html,2018-11-13,2018-11-25,953,,用于改善固态锂电池界面化学/电化学稳定性，提升电池循环寿命,,all
重点实验室基金-61422080101-空间自主系统智能控制的理论方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/594480.html,2018-11-13,2018-11-30,786,,为复杂航天器高品质控制的工程实现奠定理论基础。,,all
重点实验室基金-61429050101-外形稳定轻质热防护材料的新概念和新机理研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594479.html,2018-11-13,2018-11-25,834,,用于提高新型飞行器热防护性能,,all
重点实验室基金- 61422120303-叶轮叶片振动特性影响研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594478.html,2018-11-13,2018-11-23,652,,用于增压器叶轮关键零部件振动特性、疲劳及加速验证方法,,all
重点实验室基金-61422140203-低成本自然能源驱动水下发声技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594477.html,2018-11-13,2018-11-20,509,,研究自然能源转化、存储、利用技术，提出低成本自然能源驱动水下发声装置设计方案，试制原理验证装置，能够实现长时间发射低频噪声信号。,,all
重点实验室基金-61422010301-绕翼型、机翼及飞行器流动的转捩、分离及其多物理场耦合的复杂流动机理研究（二）,http://www.weain.mil.cn/cgxq/yy/yjjsl/594476.html,2018-11-13,2018-11-22,571,,研究流动分离数值模拟与漩涡稳定性机理，边界层流动稳定性与转捩的数值模拟与理论研究，气动噪声的多物理场数值模拟与相关机理，过冷水滴结冰与防除冰机理。,,all
重点实验室基金-61422180601-基于浮标的跨介质探测及通信技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594475.html,2018-11-13,2018-11-23,533,,为新型水中兵器技术开展前瞻性研究。,,all
重点实验室基金-61426010503-引信抗干扰天线技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594474.html,2018-11-13,2018-11-20,618,,针对无线电引信抗强电磁干扰的需求，开展适用于引信的小体积、低成本抗干扰智能天线研究，突破干扰源快速定位、强干扰抑制等关键技术，完成引信抗干扰天线原理样机。,,all
重点实验室基金-61422140402-海洋内孤立波观测及预报方法研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594473.html,2018-11-13,2018-11-20,453,,通过检测长周期的水压变化量，来实现对海洋内孤立波的观测和预报；为此，将通过仿真计算和实验验证，寻找内孤立波激发的水压波动规律，探索出应用水听器阵列观测和预报内波的新方法。,,all
重点实验室基金-61426020306-三段式优化感度试验设计方法研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594472.html,2018-11-13,2018-11-20,361,,试验方法受感度数据分布选择影响的问题，开展一种新的三段式优化感度试验设计方法（3pod）研究，突破三段式优化感度试验方法的原理、算法及感度试验设计等关键技术，形成一种更稳健的感度试验设计新方法。,,all
重点实验室基金-61429050301-特种材料的基本性能测试与表征方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/594471.html,2018-11-13,2018-11-25,587,,用于提高特种材料的表征能力,,all
重点实验室基金-61422180505-基于地磁参量的远程仿生导航机理与方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/594470.html,2018-11-13,2018-11-23,467,,为新型水中兵器技术开展前瞻性研究。,,all
重点实验室基金-62421070202-图像细节增强技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594469.html,2018-11-13,2018-11-19,606,,用于图像增强高速处理。,,all
重点实验室基金- 61422120106-新材料新工艺应用研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594468.html,2018-11-13,2018-11-23,599,,用于叶轮耐温性能研究及快速成型工艺控制,,all
重点实验室基金-61424130309-基于机器学习的调制编码联合识别技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594467.html,2018-11-13,2018-11-23,781,,用于信号智能分析应用。,,all
重点实验室基金-61429050204-结构透波复合材料技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594466.html,2018-11-13,2018-11-25,605,,用于提高整流罩透波性能,,all
重点实验室基金-61422010501－叶栅复杂流动机理及控制技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594465.html,2018-11-13,2018-11-22,427,,揭示高负荷叶栅中流动损失产生的机理与来源，并提出相应的流动控制措施。叶栅粘性效应、非定常效应、激波与附面层干扰效应等流动损失来源的理论与实验研究；研究叶片表面附面层分离控制的新技术与新理论。,,all
重点实验室基金-61429050207-超轻复合材料结构设计制备一体化技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594464.html,2018-11-13,2018-11-25,790,,用于提高飞行器结构强度,,all
重点实验室基金-61428080201-高稳定性金属锂负极技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594463.html,2018-11-13,2018-11-25,557,,用于抑制金属锂枝晶和提高金属锂负极循环中的库伦效率，进而大幅提升金属锂负极的循环稳定性和安全性。,,all
重点实验室基金-61421070203红外超分辨率成像技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594462.html,2018-11-13,2018-11-19,545,,用于预警探测超分辨率成像技术。,,all
重点实验室基金-61421070301中波红外波导相控阵机理及实现工艺研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594461.html,2018-11-13,2018-11-19,371,,用于新型红外激光发射技术。,,all
重点实验室基金-61428080106-新型太阳电池阵复合互联片制备技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594460.html,2018-11-13,2018-11-25,450,,用于太阳电池阵复合互联片的研制。,,all
重点实验室基金-61426020403-重频电磁脉冲作用下火工品响应机制研究（重点项目）,http://www.weain.mil.cn/cgxq/yy/yjjsl/594459.html,2018-11-13,2018-11-20,357,,功率电磁武器产生的重频电磁脉冲多次冲击对火工品带来的损伤及安全性可靠性问题，开展重频电磁脉冲对典型火工品冲击累积效应研究，构建基于小型电磁脉冲发生器对火工品重频电磁脉冲传导与辐射试验环境与方法，获得典型火工品在重频电磁脉冲作用下的响应特性。,,all
重点实验室基金-614250302010118-高速平台前斜视SAR成像技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594458.html,2018-11-13,2018-11-26,512,,用于高速平台前斜视SAR成像技术研究,,all
重点实验室基金-614250303010118-柔性阵列成像技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594457.html,2018-11-13,2018-11-26,520,,用于柔性阵列成像技术攻关,,all
重点实验室基金-61424080210-基于回音壁模式微腔的微量有害气体高灵敏度测量技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594456.html,2018-11-13,2018-11-30,392,,形成一种新型气体测量传感器，用于有害气体检测和量化分析。,,all
重点实验室基金-61422120102-压气机叶轮增效及流动控制,http://www.weain.mil.cn/cgxq/yy/yjjsl/594455.html,2018-11-13,2018-11-23,384,,用于增压器高压比离心压气机设计,,all
重点实验室基金-61424080111-红外隐身涂层光谱辐射特性理论研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594454.html,2018-11-13,2018-11-30,637,,形成隐身涂层红外光谱辐射特性模型方法，用于隐身目标红外特性分析。,,all
重点实验室基金-61421070303-中波红外量子级联激光器光谱合束技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594453.html,2018-11-13,2018-11-19,439,,用于量子激光器工程化研制。,,all
重点实验室基金-61421070201-脉冲压缩激光探测技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594452.html,2018-11-13,2018-11-19,404,,用于激光主动探测技术。,,all
重点实验室基金-61426010202-引信宽频振动耦联式能量采集技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594451.html,2018-11-13,2018-11-20,349,,针对无人飞行器、巡飞弹等弹药长时间供电的需求，开展基于引信自身振动环境驱动的压电换能技术研究，探索引信发射冲击与弹道振动串耦激励能量采集机制，运用MEMS制造工艺及高效纳米压电材料研制出能量采集原理样机。,,all
重点实验室基金- 61422120201-增压系统多变量控制理论与技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594450.html,2018-11-13,2018-11-12,298,,用于增压系统多变量耦合控制方法的研究,,all
重点实验室基金-61428080205-高效重整制氢催化剂技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594449.html,2018-11-13,2018-11-25,457,,开展燃油重整制氢催化剂的分子设计基础理论和催化机理研究，解决燃油重整制氢领域催化剂积碳失活、抗硫性关键问题，提高催化剂的活性、选择性、稳定性、抗积碳等性能。发展高效稳定的低贵金属重整制氢催化剂关键制备技术，为氢能产业的发展提供基础理论和技术支撑。,,all
重点实验室基金-61422140103-基于蓝绿光LED的水下可见光通信技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594448.html,2018-11-13,2018-11-20,451,,针对UUV的数据回传与对接的应用需求，研制可工作于水下的基于蓝绿光LED的可见光通信系统，该系统可以完成点对点视频的传输。为水下潜航器的数据回传，水下传感器的数据和光纤光缆连接提供技术支撑。,,all
重点实验室基金-61429050201-陶瓷基结构防热复合材料新体系新工艺探索和防隔热材料研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594447.html,2018-11-13,2018-11-25,513,,用于提高防隔热材料的制备工艺,,all
重点实验室基金-61426010103-大间隙、变间隙引信无线交联方法研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594446.html,2018-11-13,2018-11-20,272,,针对大间隙、变间隙条件下的引信与武器平台间的能量与数据快速可靠传输需求，开展磁共振装定方式下传输参数影响机理与优化设计方法研究，突破基于磁共振的耦合效率提升、结构变动与间隙波动下可靠传输等关键技术，实现大间距、变间隙条件下引信的无线装定。,,all
重点实验室基金-61426010303-引信用二维光学相控阵扫描技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594445.html,2018-11-13,2018-11-20,331,,针对掠飞攻顶反坦克导弹引信对目标精细探测的需求，开展适用于近程探测的二维光学相控阵扫描技术研究，实现光束的快速、大角度二维扫描，满足激光成像引信的要求。,,all
重点实验室基金-61422010401－翼型设计新理论的实验研究及绕翼型流动的转捩、分离问题研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594444.html,2018-11-13,2018-11-22,311,,用风洞实验的方法研究新翼型设计概念，研究绕翼型流动转捩、分离和激波－附面层干扰以及流动控制技术,,all
重点实验室基金-61422180802-基于仿生场景解析的目标探测研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594443.html,2018-11-13,2018-11-23,304,,为新型水中兵器技术开展前瞻性研究。,,all
重点实验室基金-61421070302超低阈值超快响应宽带光限幅材料研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594442.html,2018-11-13,2018-11-19,303,,用于强激光防护。,,all
重点实验室基金-61424080409-基于激光压缩态的目标回波特性研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594441.html,2018-11-13,2018-11-30,355,,探索量子压缩态下的目标激光散射特性，用于量子极限条件下的目标探测识别。,,all
重点实验室基金-61421070304高光束质量短波红外半导体激光器技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594440.html,2018-11-13,2018-11-19,371,,用于短波激光器研制。,,all
重点实验室基金-61426010403-引信传爆序列殉爆反应特性研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594439.html,2018-11-13,2018-11-20,298,,针对引信不敏感特性评估的要求，开展引信传爆序列殉爆反应特性研究，建立引信传爆序列殉爆反应特性数值模拟方法，揭示引信传爆序列殉爆规律和点火起爆条件。为引信的装药设计、包装设计、生产贮存提供理论基础。,,all
重点实验室基金-61428080201-高功率铌基锂离子电池技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594438.html,2018-11-13,2018-11-25,448,,高倍率充放电的新型电池，用于需要高功率供电电源设备,,all
重点实验室基金-614250304020118-智能化实时目标识别系统设计技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594437.html,2018-11-13,2018-11-26,629,,用于智能化实时目标识别系统设计,,all
重点实验室基金-61422080301-基于学习的系统故障诊断与容错控制方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/594436.html,2018-11-13,2018-11-30,442,,为提高系统自主能力提供支撑。,,all
重点实验室基金-61424130303-基于RFC文档的网络协议知识图谱构建技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594435.html,2018-11-13,2018-11-23,383,,用于网络协议知识图谱构建。,,all
重点实验室基金-61422080402-空间碎片消旋与捕获控制新方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/594434.html,2018-11-13,2018-11-30,425,,为实现大型空间碎片捕获与离轨等操作任务提供方法支撑。,,all
重点实验室基金-614250301010118-射频制导系统数字建模仿真技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594433.html,2018-11-13,2018-11-26,377,,用于射频制导系统数字建模仿真,,all
重点实验室基金-61422080401-基于学习的机器人视觉伺服控制方法,http://www.weain.mil.cn/cgxq/yy/yjjsl/594432.html,2018-11-13,2018-11-30,498,,解决故障航天器抓捕与操作控制问题。,,all
重点实验室基金-61422230104-喷水推进前沿技术研究,http://www.weain.mil.cn/cgxq/yy/yjjsl/594263.html,2018-11-12,2018-11-25,1741,,用于新型喷水推进研究。,,all
重点实验室基金-61420050203-面向再制造的表面覆层制备及表征基础,http://www.weain.mil.cn/cgxq/yy/yjjsl/594262.html,2018-11-12,2018-12-01,985,,用于表征评价再制造覆层组织性能。,,all
重点实验室基金-6142004003-复合材料结构强度评估与试验验证技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594261.html,2018-11-12,2018-11-25,744,,针对航天飞行器高温复合材料结构强度评估需求，开展复合材料结构强度评估与试验验证技术研究。,,all
重点实验室基金-6142004001-复杂系统的事故形成机理与认知理论,http://www.weain.mil.cn/cgxq/yy/yjjsl/594260.html,2018-11-12,2018-11-25,560,,针对复杂装备系统，研究复杂系统的体系缺陷、危险与事故机理，预防与控制危险、事故设计与分析方法。,,all
重点实验室基金-61420050404-能束能场现场增材再制造技术,http://www.weain.mil.cn/cgxq/yy/yjjsl/594259.html,2018-11-12,2018-12-01,780,,用于载能束能场增材再制造基础及应用基础研究。,,all
重点实验室基金-61420050303-再制造成形层性能评价与表征分析,http://www.weain.mil.cn/cgxq/yy/yjjsl/594258.html,2018-11-12,2018-12-01,647,,用于再制造成形层组织性能表征及失效分析,,all
重点实验室基金-61421040404-通信网络动态抗毁与安全防护技术二期,http://www.weain.mil.cn/cgxq/yy/yjjsl/594257.html,2018-11-12,2018-12-01,666,,针对网络空间多样化的安全威胁，借鉴自然界和生物系统自动调节适应环境的机理，研究提出应对网络攻击能够自适应动态改变网络结构、通信协议、信息承载等机制的网络抗毁与安全防护理论和方法，并进行仿真试验验证。,,all
